Table 5-8:  Approach 2 Quantitative Uncertainty Estimates for CH4 and N2O (Direct and Indirect) Emissions from Manure Management (MMT CO2 Eq. and Percent),,,,,,
,,,,,,
Source,Gas,2020 Emission Estimate,Uncertainty Range Relative to Emission Estimatea,,,
,,(MMT CO2 Eq.),(MMT CO2 Eq.),,(%),
,,,Lower,Upper,Lower,Upper
,,,Bound,Bound,Bound,Bound
Manure Management,CH4,59.6,48.8,71.5,-18%,20%
Manure Management,N2O,19.7,16.5,24.4,-16%,24%
a Range of emission estimates predicted by Monte Carlo Stochastic Simulation for a 95 percent confidence interval.,,,,,,
