Table 4-2: Emissions from Industrial Processes and Product Use (kt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,Titanium Dioxide Production,"1,195","1,211 ","1,392 ","1,416 ","1,526 ","1,526 ","1,514 ","1,677 ","1,662 ","1,693 ","1,752 ","1,697 ","1,824 ","1,839 ","2,064 ","1,755 ","1,836 ","1,930 ","1,809 ","1,648 ","1,769 ","1,729 ","1,528 ","1,715 ","1,688 ","1,635 ","1,662 ","1,688","1,541","1,474","1,340"
,Zinc Production,632,809 ,843 ,931 ,918 ,865 ,924 ,971 ,885 ,865 ,944 ,713 ,746 ,"1,096 ","1,030 ","1,030 ","1,030 ","1,024 ","1,158 ",943 ,"1,182 ","1,286 ","1,485 ","1,381 ",909 ,886 ,838 ,900,999,"1,026","1,008"
,Phosphoric Acid Production,"1,529","1,398 ","1,509 ","1,304 ","1,519 ","1,513 ","1,551 ","1,544 ","1,593 ","1,539 ","1,382 ","1,264 ","1,338 ","1,382 ","1,395 ","1,342 ","1,160 ","1,203 ","1,132 ",977 ,"1,087 ","1,171 ","1,118 ","1,149 ","1,037 ",999 ,998 ,"1,025",937,909,938
,Lead Production,516,485 ,488 ,486 ,507 ,553 ,563 ,585 ,588 ,587 ,594 ,563 ,561 ,574 ,546 ,553 ,560 ,562 ,547 ,525 ,542 ,538 ,527 ,546 ,459 ,473 ,500 ,513,513,527,495
,Carbide Production and Consumption,243,156 ,184 ,165 ,194 ,198 ,225 ,237 ,263 ,193 ,200 ,169 ,178 ,197 ,218 ,213 ,201 ,190 ,171 ,142 ,177 ,167 ,154 ,165 ,169 ,176 ,170 ,181,184,175,154
,Magnesium Production and Processing,129,128 ,128 ,128 ,139 ,147 ,147 ,147 ,147 ,147 ,147 ,109 ,3 ,3 ,3 ,3 ,3 ,3 ,2 ,1 ,2 ,3 ,2 ,2 ,2 ,3 ,3 ,3,2,1,1
,CH4,11,11 ,11 ,13 ,14 ,14 ,15 ,16 ,16 ,15 ,13 ,9 ,10 ,10 ,8 ,4 ,3 ,3 ,3 ,3 ,3 ,3 ,4 ,4 ,6 ,9 ,11 ,11,13,15,14
,Petrochemical Production,9,9 ,9 ,11 ,12 ,12 ,13 ,14 ,14 ,13 ,12 ,8 ,8 ,8 ,7 ,3 ,2 ,2 ,2 ,2 ,2 ,2 ,3 ,3 ,5 ,7 ,10 ,10,12,13,13
,Carbide Production and Consumption,1,+ ,1 ,+ ,1 ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,Ferroalloy Production,1,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,1 ,+ ,1 ,1 ,1 ,1,1,+ ,+ 
,Iron and Steel Production & Metallurgical Coke Production,1,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,Iron and Steel Production,1,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,Metallurgical Coke Production,0,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0
,N2O,112,110 ,104 ,110 ,111 ,124 ,125 ,103 ,88 ,84 ,85 ,73 ,77 ,76 ,71 ,84 ,88 ,101 ,68 ,63 ,75 ,93 ,75 ,71 ,77 ,74 ,79 ,76,87,71,78
,Nitric Acid Production,41,41 ,42 ,42 ,45 ,45 ,47 ,48 ,48 ,46 ,45 ,36 ,39 ,37 ,37 ,38 ,37 ,44 ,38 ,32 ,39 ,37 ,35 ,36 ,37 ,39 ,34 ,31,32,34,31
,Adipic Acid Production,51,50 ,44 ,47 ,45 ,57 ,56 ,32 ,17 ,16 ,18 ,15 ,17 ,18 ,12 ,24 ,29 ,34 ,8 ,9 ,14 ,34 ,19 ,13 ,18 ,14 ,24 ,25,35,18,28
,N2O from Product Uses,14,14 ,13 ,15 ,15 ,15 ,15 ,16 ,16 ,16 ,16 ,16 ,14 ,14 ,14 ,14 ,14 ,14 ,14 ,14 ,14 ,14 ,14 ,14 ,14 ,14 ,14 ,14,14,14,14
