Table 4-1: Emissions from Industrial Processes and Product Use (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,Titanium Dioxide Production,1.2 ,1.2 ,1.4 ,1.4 ,1.5 ,1.5 ,1.5 ,1.7 ,1.7 ,1.7 ,1.8 ,1.7 ,1.8 ,1.8 ,2.1 ,1.8 ,1.8 ,1.9 ,1.8 ,1.6 ,1.8 ,1.7 ,1.5 ,1.7 ,1.7 ,1.6 ,1.7 ,1.7 ,1.5 ,1.5 ,1.3 
,Zinc Production,0.6 ,0.8 ,0.8 ,0.9 ,0.9 ,0.9 ,0.9 ,1.0 ,0.9 ,0.9 ,0.9 ,0.7 ,0.7 ,1.1 ,1.0 ,1.0 ,1.0 ,1.0 ,1.2 ,0.9 ,1.2 ,1.3 ,1.5 ,1.4 ,0.9 ,0.9 ,0.8 ,0.9 ,1.0 ,1.0 ,1.0 
,Phosphoric Acid Production,1.5 ,1.4 ,1.5 ,1.3 ,1.5 ,1.5 ,1.6 ,1.5 ,1.6 ,1.5 ,1.4 ,1.3 ,1.3 ,1.4 ,1.4 ,1.3 ,1.2 ,1.2 ,1.1 ,1.0 ,1.1 ,1.2 ,1.1 ,1.1 ,1.0 ,1.0 ,1.0 ,1.0 ,0.9 ,0.9 ,0.9 
,Lead Production,0.5 ,0.5 ,0.5 ,0.5 ,0.5 ,0.6 ,0.6 ,0.6 ,0.6 ,0.6 ,0.6 ,0.6 ,0.6 ,0.6 ,0.5 ,0.6 ,0.6 ,0.6 ,0.5 ,0.5 ,0.5 ,0.5 ,0.5 ,0.5 ,0.5 ,0.5 ,0.5 ,0.5 ,0.5 ,0.5 ,0.5 
,Carbide Production and Consumption,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.3 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.1 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 
,Magnesium Production and Processing,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,CH4,0.3 ,0.3 ,0.3 ,0.3 ,0.3 ,0.4 ,0.4 ,0.4 ,0.4 ,0.4 ,0.3 ,0.2 ,0.2 ,0.2 ,0.2 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.2 ,0.2 ,0.3 ,0.3 ,0.3 ,0.4 ,0.3 
,Petrochemical Production,0.2 ,0.2 ,0.2 ,0.3 ,0.3 ,0.3 ,0.3 ,0.4 ,0.3 ,0.3 ,0.3 ,0.2 ,0.2 ,0.2 ,0.2 ,0.1 ,+ ,0.1 ,+ ,+ ,+ ,+ ,0.1 ,0.1 ,0.1 ,0.2 ,0.2 ,0.3 ,0.3 ,0.3 ,0.3 
,Carbide Production and Consumption,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,Ferroalloy Production,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,Iron and Steel Production & Metallurgical Coke Production,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,Iron and Steel Production,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,Metallurgical Coke Production,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,N2O,33.3 ,32.7 ,31.0 ,32.7 ,33.2 ,36.8 ,37.2 ,30.6 ,26.1 ,25.1 ,25.4 ,21.9 ,22.9 ,22.7 ,21.0 ,24.9 ,26.1 ,30.1 ,20.3 ,18.8 ,22.4 ,27.8 ,22.5 ,21.1 ,22.8 ,22.2 ,23.4 ,22.7 ,26.0 ,21.1 ,23.3 
