"Table 6-3:  Emissions and Removals from Land Use, Land-Use Change, and Forestry by Gas (kt)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gas/Land-Use Category,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Forest Land Remaining Forest Land: Drained Organic Soilsd,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
Grassland Remaining Grassland: Grassland Firesc,+ ,+ ,+ ,+ ,1,1,2,+ ,+ ,2,2,1,1,1,+ ,1,3,2,1,1,1,3,2,1,1,1,1,1,1,1,1
Wetlands Remaining Wetlands: Coastal Wetlands Remaining Coastal Wetlands,+ ,+ ,1,+ ,+ ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,+ ,+ ,+ ,+ ,+ ,+ ,+ ,1,1,1
Wetlands Remaining Wetlands: Peatlands Remaining Peatlands,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
Settlements Remaining Settlements: Settlement Soilse,7,7,8,8,8,8,8,8,7,7,9,9,8,8,11,10,11,11,11,10,7,8,7,7,7,7,8,8,8,8,8
+ Absolute value does not exceed 0.5 kt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"a LULUCF Carbon Stock Change is the net C stock change from the following categories: Forest Land Remaining Forest Land, Land Converted to Forest Land, Cropland Remaining Cropland, Land Converted to Cropland, Grassland Remaining Grassland, Land Converted to Grassland, Wetlands Remaining Wetlands, Land Converted to Wetlands, Settlements Remaining Settlements, and Land Converted to Settlements.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b Estimates include CH4 and N2O emissions from fires on both Forest Land Remaining Forest Land and Land Converted to Forest Land. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c Estimates include CH4 and N2O emissions from drained organic soils on both Forest Land Remaining Forest Land and Land Converted to Forest Land.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d Estimates include CH4 and N2O emissions from fires on both Grassland Remaining Grassland and Land Converted to Grassland.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e Estimates include N2O emissions from N fertilizer additions on both Forest Land Remaining Forest Land and Land Converted to Forest Land. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f Estimates include N2O emissions from N fertilizer additions on both Settlements Remaining Settlements and Land Converted to Settlements.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes: Totals may not sum due to independent rounding. Parentheses indicate net sequestration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
