Table 6-85:  State Totals of Surface Area (ha) in Flooded Land Remaining Flooded Land— Other Constructed Waterbodies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Nevada,242,242,242,242,242,242,242,242,242,242,242,242,242,242,242,242,242,242,246,246,249,253,253,253,260,260,260,262,262,262,262
New Hampshire,451,451,451,451,464,473,480,480,487,489,492,492,492,497,497,497,508,509,513,513,513,513,513,513,513,513,517,517,517,517,517
New Jersey,"1,381","1,389","1,396","1,396","1,396","1,396","1,396","1,396","1,396","1,396","1,396","1,396","1,396","1,396","1,396","1,396","1,396","1,396","1,396","1,396","1,396","1,396","1,396","1,396","1,396","1,396","1,396","1,396","1,399","1,399","1,399"
New Mexico,444,446,446,446,446,446,446,446,447,447,447,453,453,453,453,453,453,453,453,453,453,453,453,453,453,453,453,453,453,453,453
New York,"3,071","3,084","3,110","3,133","3,145","3,145","3,178","3,186","3,191","3,191","3,218","3,223","3,225","3,228","3,232","3,232","3,245","3,249","3,249","3,250","3,264","3,273","3,275","3,280","3,284","3,287","3,294","3,294","3,294","3,294","3,294"
North Carolina,"3,977","4,018","4,040","4,070","4,089","4,092","4,106","4,108","4,127","4,156","4,163","4,163","4,171","4,171","4,173","4,178","4,182","4,182","4,189","4,192","4,203","4,204","4,204","4,204","4,207","4,207","4,216","4,216","4,216","4,216","4,218"
North Dakota,784,792,812,821,826,830,834,834,837,837,837,837,837,837,837,837,843,843,843,851,851,851,856,860,860,865,866,866,873,873,873
Ohio,"2,008","2,030","2,071","2,092","2,119","2,143","2,157","2,159","2,165","2,179","2,192","2,197","2,201","2,201","2,201","2,201","2,203","2,209","2,209","2,209","2,211","2,211","2,213","2,216","2,224","2,229","2,229","2,238","2,238","2,238","2,238"
Oklahoma,"6,138","6,221","6,397","6,524","6,581","6,689","6,800","6,884","6,970","7,038","7,080","7,121","7,125","7,136","7,139","7,139","7,139","7,142","7,142","7,142","7,151","7,151","7,151","7,151","7,153","7,157","7,162","7,162","7,165","7,172","7,172"
Oregon,"1,448","1,467","1,480","1,488","1,488","1,488","1,496","1,511","1,511","1,517","1,520","1,520","1,520","1,520","1,520","1,520","1,522","1,522","1,522","1,529","1,529","1,529","1,529","1,529","1,529","1,532","1,533","1,533","1,536","1,536","1,536"
Pennsylvania,"1,483","1,490","1,516","1,530","1,545","1,571","1,581","1,592","1,598","1,598","1,599","1,599","1,599","1,604","1,610","1,610","1,612","1,616","1,617","1,620","1,620","1,623","1,624","1,624","1,630","1,630","1,630","1,630","1,631","1,631","1,631"
Rhode Island,257,257,257,257,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258
South Carolina,"4,172","4,234","4,307","4,369","4,424","4,487","4,516","4,546","4,588","4,600","4,605","4,605","4,609","4,615","4,615","4,617","4,619","4,631","4,634","4,634","4,634","4,634","4,634","4,634","4,636","4,636","4,638","4,640","4,640","4,640","4,642"
South Dakota,"2,403","2,407","2,425","2,425","2,436","2,440","2,475","2,484","2,487","2,494","2,497","2,500","2,500","2,500","2,500","2,500","2,506","2,510","2,515","2,515","2,515","2,515","2,515","2,527","2,529","2,533","2,537","2,539","2,539","2,548","2,548"
Tennessee,"1,372","1,407","1,447","1,468","1,479","1,485","1,487","1,518","1,521","1,537","1,552","1,555","1,555","1,557","1,557","1,562","1,562","1,568","1,568","1,568","1,569","1,569","1,569","1,569","1,569","1,569","1,569","1,569","1,576","1,579","1,579"
Texas,"14,634","14,937","15,211","15,442","15,839","16,065","16,246","16,510","16,593","16,807","16,910","16,974","17,017","17,038","17,045","17,052","17,056","17,056","17,057","17,063","17,063","17,063","17,065","17,065","17,065","17,075","17,082","17,086","17,090","17,091","17,091"
Utah,784,784,784,786,793,799,807,807,821,821,821,825,829,829,829,829,829,829,829,829,829,829,829,829,829,829,829,829,829,829,829
Vermont,311,318,327,333,340,350,353,359,363,363,365,368,368,368,368,368,368,369,369,372,372,372,372,372,372,372,372,372,372,372,372
Virginia,"3,549","3,557","3,582","3,620","3,661","3,678","3,685","3,701","3,703","3,706","3,710","3,717","3,717","3,717","3,721","3,721","3,721","3,721","3,721","3,721","3,721","3,721","3,721","3,721","3,721","3,721","3,721","3,721","3,721","3,721","3,721"
Washington,653,672,697,701,704,704,715,715,715,715,715,715,718,721,722,727,731,738,741,741,750,756,756,756,759,759,759,759,761,761,761
West Virginia,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124
Wisconsin,"1,009","1,021","1,068","1,091","1,129","1,140","1,146","1,153","1,154","1,158","1,158","1,158","1,158","1,158","1,158","1,158","1,161","1,161","1,163","1,163","1,163","1,163","1,163","1,163","1,163","1,170","1,170","1,170","1,170","1,170","1,170"
Wyoming,"1,693","1,695","1,705","1,705","1,705","1,708","1,721","1,721","1,721","1,721","1,721","1,721","1,721","1,721","1,721","1,721","1,721","1,721","1,721","1,721","1,721","1,721","1,721","1,721","1,721","1,721","1,721","1,721","1,721","1,721","1,721"
Total,"157,693","159,422","161,543","163,192","164,889","166,299","167,703","169,232","170,093","170,903","171,534","171,813","171,950","172,050","172,130","172,207","172,291","172,372","172,431","172,472","172,539","172,578","172,623","172,656","172,701","172,795","172,848","172,901","173,001","173,049","173,089"
"Note: Alaska, Hawaii, and U.S. Territories not included.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
