Table 6-76:  IPCC (2019) Default CH4 Emission Factors for Surface Emission from Reservoirs and Associated Inundation Areas in Flooded Land Remaining Flooded Land,
,
Climate,Surface emission factor 
,(MT CH4 ha-1 y-1)
Boreal,0.0136
Cool Temperate,0.054
Warm Temperate Dry,0.1509
Warm Temperate Moist,0.0803
Tropical Dry/Montane,0.2837
Tropical Moist/Wet,0.1411
