"Table 6-126:  Net CO2 Flux from Soil, Dead Organic Matter and Biomass C Stock Changes for Land Converted to Settlements (MMT C)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Mineral Soils,1.3 ,1.5 ,1.7 ,1.9 ,2.1 ,2.4 ,2.6 ,2.9 ,3.1 ,3.4 ,3.6 ,3.8 ,4.0 ,4.1 ,4.1 ,4.1 ,4.0 ,4.0 ,3.9 ,3.9 ,3.7 ,3.6 ,3.5 ,3.3 ,3.2 ,3.0 ,2.8 ,2.8 ,2.8 ,2.8 ,2.8 
Organic Soils,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.3 ,0.3 ,0.3 ,0.4 ,0.4 ,0.4 ,0.4 ,0.4 ,0.4 ,0.4 ,0.4 ,0.4 ,0.3 ,0.3 ,0.3 ,0.3 ,0.3 ,0.3 ,0.3 ,0.3 ,0.3 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 
Other Lands Converted to Settlements,(0.1),(0.1),(0.1),(0.2),(0.2),(0.2),(0.3),(0.3),(0.3),(0.3),(0.4),(0.4),(0.4),(0.4),(0.4),(0.4),(0.4),(0.4),(0.4),(0.4),(0.4),(0.4),(0.4),(0.4),(0.4),(0.3),(0.3),(0.3),(0.3),(0.3),(0.3)
Mineral Soils,(0.1),(0.1),(0.1),(0.2),(0.2),(0.2),(0.3),(0.3),(0.3),(0.4),(0.4),(0.4),(0.4),(0.4),(0.4),(0.4),(0.4),(0.5),(0.5),(0.4),(0.4),(0.4),(0.4),(0.4),(0.4),(0.4),(0.4),(0.4),(0.4),(0.3),(0.3)
Organic Soils,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+,+,+,+,+
Wetlands Converted to Settlements,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 
Mineral Soils,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
Organic Soils,+,+,+,+,+,+,+,+,+,+,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 
Total Aboveground Biomass Flux,8.6 ,8.7 ,8.7 ,8.8 ,8.8 ,8.8 ,8.9 ,8.9 ,9.0 ,9.0 ,9.1 ,9.1 ,9.2 ,9.2 ,9.3 ,9.3 ,9.4 ,9.4 ,9.5 ,9.6 ,9.6 ,9.7 ,9.7 ,9.8 ,9.9 ,9.9 ,10.0 ,10.0 ,10.0 ,10.0 ,10.0 
Total Belowground Biomass Flux,1.7 ,1.7 ,1.7 ,1.7 ,1.7 ,1.7 ,1.7 ,1.7 ,1.7 ,1.7 ,1.7 ,1.7 ,1.8 ,1.8 ,1.8 ,1.8 ,1.8 ,1.8 ,1.8 ,1.8 ,1.8 ,1.8 ,1.9 ,1.9 ,1.9 ,1.9 ,1.9 ,1.9 ,1.9 ,1.9 ,1.9 
Total Dead Wood Flux,1.5 ,1.5 ,1.5 ,1.5 ,1.5 ,1.5 ,1.5 ,1.6 ,1.6 ,1.6 ,1.6 ,1.6 ,1.6 ,1.6 ,1.6 ,1.6 ,1.6 ,1.6 ,1.6 ,1.7 ,1.7 ,1.7 ,1.7 ,1.7 ,1.7 ,1.7 ,1.7 ,1.7 ,1.7 ,1.7 ,1.7 
Total Litter Flux,2.2 ,2.2 ,2.2 ,2.2 ,2.2 ,2.2 ,2.2 ,2.3 ,2.3 ,2.3 ,2.3 ,2.3 ,2.3 ,2.3 ,2.3 ,2.4 ,2.4 ,2.4 ,2.4 ,2.4 ,2.4 ,2.4 ,2.5 ,2.5 ,2.5 ,2.5 ,2.5 ,2.5 ,2.5 ,2.5 ,2.5 
Total Mineral Soil Flux,2.2 ,2.5 ,2.8 ,3.2 ,3.6 ,4.0 ,4.4 ,4.8 ,5.2 ,5.6 ,5.9 ,6.2 ,6.4 ,6.5 ,6.5 ,6.5 ,6.5 ,6.4 ,6.2 ,6.1 ,5.9 ,5.7 ,5.5 ,5.2 ,5.0 ,4.6 ,4.4 ,4.4 ,4.4 ,4.4 ,4.4 
Total Organic Soil Flux,0.4 ,0.4 ,0.5 ,0.5 ,0.6 ,0.6 ,0.7 ,0.8 ,0.8 ,0.9 ,1.0 ,1.0 ,1.0 ,1.0 ,1.0 ,1.0 ,1.0 ,0.9 ,0.9 ,0.9 ,0.9 ,0.8 ,0.8 ,0.8 ,0.7 ,0.7 ,0.7 ,0.7 ,0.6 ,0.6 ,0.6 
Total Net Flux,16.6 ,17.0 ,17.4 ,17.9 ,18.4 ,18.9 ,19.5 ,20.1 ,20.6 ,21.0 ,21.6 ,22.0 ,22.3 ,22.4 ,22.5 ,22.6 ,22.6 ,22.6 ,22.5 ,22.4 ,22.3 ,22.2 ,22.1 ,21.9 ,21.7 ,21.4 ,21.2 ,21.3 ,21.3 ,21.3 ,21.2 
+ Absolute value does not exceed 0.05 MMT C.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes: Totals may not sum due to independent rounding. Parentheses indicate negative values or net sequestration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
