Table 6-106:  National Surface Area (ha) Totals of Other Constructed Waterbodies in Land Converted to Flooded Land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Constructed Waterbody,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Freshwater Ponds,"14,846","13,156","11,080","9,464","7,812","6,496","5,145","3,669","2,908","2,147","1,555","1,296","1,176","1,110","1,052","1,015",964,917,877,871,828,799,775,767,729,637,590,542,442,393,354
"Note: Alaska, Hawaii, and U.S. Territories are not included.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
