"Table 6-2:  Emissions and Removals from Land Use, Land-Use Change, and Forestry by Gas (MMT CO2 Eq.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gas/Land-Use Category,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Wetlands Remaining Wetlands: Coastal Wetlands Remaining Coastal Wetlands,3.7 ,3.7 ,3.7 ,3.8 ,3.8 ,3.8 ,3.8 ,3.8 ,3.8 ,3.8 ,3.8 ,3.8 ,3.8 ,3.8 ,3.8 ,3.8 ,3.8 ,3.8 ,3.8 ,3.8 ,3.8 ,3.8 ,3.8 ,3.8 ,3.8 ,3.8 ,3.8 ,3.8 ,3.8 ,3.8 ,3.8 
Wetlands Remaining Wetlands: Peatlands Remaining Peatlands,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
Land Converted to Wetlands: Land Converted to Flooded Lands,2.6 ,2.3 ,2.1 ,2.0 ,1.7 ,1.6 ,1.5 ,1.4 ,1.1 ,1.0 ,1.0 ,0.6 ,0.4 ,0.3 ,0.2 ,0.2 ,0.2 ,0.2 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 
Land Converted to Wetlands: Land Converted to Coastal Wetlands,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.3 ,0.3 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 
N2O,4.2 ,4.2 ,3.4 ,3.5 ,5.2 ,3.5 ,5.0 ,3.4 ,3.5 ,5.5 ,8.0 ,5.3 ,9.5 ,7.6 ,13.2 ,10.5 ,8.8 ,10.8 ,8.0 ,8.9 ,5.0 ,7.7 ,8.5 ,7.8 ,6.1 ,12.9 ,7.1 ,11.5 ,9.1 ,4.8 ,15.2 
Forest Land Remaining Forest Land: Forest Firesb,1.8 ,1.8 ,0.7 ,0.5 ,2.1 ,0.4 ,1.4 ,0.2 ,0.7 ,2.2 ,4.3 ,1.8 ,6.2 ,4.2 ,9.2 ,6.3 ,4.1 ,6.3 ,3.9 ,4.8 ,1.9 ,3.8 ,5.1 ,4.7 ,2.8 ,9.7 ,3.9 ,8.2 ,5.7 ,1.3 ,11.7 
Forest Land Remaining Forest Land: Forest Soilsf,0.1 ,0.1 ,0.1 ,0.2 ,0.2 ,0.3 ,0.4 ,0.4 ,0.4 ,0.6 ,0.5 ,0.5 ,0.6 ,0.5 ,0.5 ,0.5 ,0.5 ,0.5 ,0.5 ,0.5 ,0.5 ,0.5 ,0.5 ,0.5 ,0.5 ,0.5 ,0.5 ,0.5 ,0.5 ,0.5 ,0.5 
Forest Land Remaining Forest Land: Drained Organic Soilsd,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 
Grassland Remaining Grassland: Grassland Firesc,0.1 ,0.1 ,0.1 ,0.1 ,0.3 ,0.2 ,0.5 ,0.1 ,0.1 ,0.5 ,0.5 ,0.2 ,0.2 ,0.2 ,0.1 ,0.3 ,0.9 ,0.6 ,0.3 ,0.4 ,0.2 ,0.9 ,0.6 ,0.2 ,0.4 ,0.3 ,0.3 ,0.3 ,0.3 ,0.3 ,0.3 
Wetlands Remaining Wetlands: Coastal Wetlands Remaining Coastal Wetlands,0.1 ,0.1 ,0.2 ,0.1 ,0.1 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.2 ,0.2 ,0.2 
