Table 6-16:  Non-CO2 Emissions from Forest Fires (kt)a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,CH4,92 ,70 ,22 ,23 ,81 ,15 ,48 ,8 ,23 ,89 ,183 ,71 ,276 ,184 ,360 ,260 ,167 ,280 ,150 ,188 ,49 ,123 ,186 ,203 ,98 ,463 ,154 ,381 ,249 ,45 ,545 
,N2O,6 ,6 ,2 ,2 ,7 ,2 ,5 ,1 ,2 ,7 ,14 ,6 ,21 ,14 ,31 ,21 ,14 ,21 ,13 ,16 ,7 ,13 ,17 ,16 ,9 ,33 ,13 ,27 ,19 ,4 ,39 
,CO,2589 ,2044 ,509 ,635 ,1887 ,366 ,1059 ,176 ,611 ,2290 ,4296 ,1715 ,6529 ,4198 ,10298 ,7284 ,3777 ,6512 ,3318 ,5154 ,1334 ,3014 ,4046 ,4907 ,2260 ,11509 ,3775 ,8591 ,5457 ,1095 ,11739 
,NOx,47 ,44 ,14 ,12 ,40 ,11 ,28 ,6 ,13 ,51 ,84 ,40 ,140 ,81 ,162 ,120 ,80 ,128 ,64 ,91 ,33 ,86 ,96 ,90 ,54 ,195 ,87 ,167 ,119 ,30 ,224 
,a These estimates include Non-CO2 Emissions from Forest Fires on Forest Land Remaining Forest Land and Land Converted to Forest Land. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
