Table 6-24:  Net CO2 Flux from Forest C Pools in Land Converted to Forest Land by Land Use Change Category (MMT CO2 Eq.) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Land Use/Carbon Pool,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,
Settlements Converted to Forest Land,-34.2,-34.2,-34.2,-34.2,-34.2,-34.2,-34.2,-34.2,-34.2,-34.1,-34.1,-34.1,-34.1,-34.1,-34.1,-34.1,-34.1,-34.1,-34.1,-34.1,-34.1,-34.1,-34.1,-34.1,-34.1,-34.1,-34.1,-34.1,-34.1,-34.1,-34.1,
Aboveground Biomass,-20.9,-20.9,-20.9,-20.9,-20.9,-20.9,-20.9,-20.9,-20.9,-20.9,-20.9,-20.9,-20.9,-20.9,-20.9,-20.9,-20.9,-20.9,-20.9,-20.9,-20.8,-20.8,-20.8,-20.8,-20.8,-20.8,-20.8,-20.8,-20.8,-20.8,-20.8,
Belowground Biomass,-4,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4,-4,-4,-4,-4,
Dead Wood,-3.9,-3.9,-3.9,-3.9,-3.9,-3.9,-3.9,-3.9,-3.9,-3.9,-3.9,-3.9,-3.9,-3.9,-3.9,-3.9,-3.9,-3.9,-3.9,-3.9,-3.9,-3.9,-3.9,-3.9,-3.9,-3.9,-3.9,-3.9,-3.9,-3.9,-3.9,
Litter,-5.4,-5.4,-5.4,-5.4,-5.4,-5.4,-5.4,-5.4,-5.3,-5.3,-5.3,-5.3,-5.3,-5.3,-5.3,-5.3,-5.3,-5.3,-5.3,-5.3,-5.3,-5.3,-5.3,-5.3,-5.3,-5.3,-5.3,-5.3,-5.3,-5.3,-5.3,
Mineral Soil,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,
Wetlands Converted to Forest Land,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,
Aboveground Biomass,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,
Belowground Biomass,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,
Dead Wood,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,
Litter,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,
Mineral Soil,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,
Total Aboveground Biomass Flux,-55.9,-55.9,-55.9,-55.9,-55.9,-55.9,-55.9,-55.9,-55.9,-55.9,-55.9,-55.9,-55.9,-55.9,-55.9,-55.9,-55.9,-55.9,-55.9,-56.0,-56.0,-56.0,-56.0,-56.0,-56.0,-56.1,-56.1,-56.1,-56.1,-56.1,-56.1,
Total Belowground Biomass Flux,-10.5,-10.5,-10.5,-10.5,-10.5,-10.5,-10.5,-10.5,-10.5,-10.5,-10.5,-10.5,-10.5,-10.5,-10.5,-10.5,-10.5,-10.5,-10.5,-10.5,-10.5,-10.5,-10.5,-10.5,-10.5,-10.5,-10.5,-10.5,-10.5,-10.5,-10.5,
Total Dead Wood Flux,-11.7,-11.7,-11.7,-11.7,-11.7,-11.7,-11.7,-11.7,-11.7,-11.7,-11.7,-11.7,-11.7,-11.7,-11.7,-11.7,-11.7,-11.7,-11.7,-11.7,-11.7,-11.7,-11.8,-11.8,-11.8,-11.8,-11.8,-11.8,-11.8,-11.8,-11.8,
Total Litter Flux,-19.8,-19.8,-19.8,-19.8,-19.8,-19.8,-19.8,-19.8,-19.8,-19.8,-19.8,-19.8,-19.8,-19.8,-19.8,-19.8,-19.8,-19.9,-19.9,-19.9,-19.9,-19.9,-19.9,-19.9,-19.9,-19.9,-19.9,-19.9,-19.9,-19.9,-19.9,
Total Mineral Soil Flux,-0.8,-0.8,-0.8,-0.8,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-1.0,-1.0,-1.0,-1.0,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,
Total Flux,-98.6,-98.6,-98.6,-98.6,-98.7,-98.7,-98.7,-98.7,-98.8,-98.8,-98.8,-98.9,-98.9,-99.0,-99.0,-99.1,-99.1,-99.1,-99.2,-99.2,-99.2,-99.3,-99.3,-99.3,-99.3,-99.4,-99.5,-99.5,-99.5,-99.5,-99.5,
"Notes: Totals may not sum due to independent rounding. Parentheses indicate net uptake. Forest ecosystem C stock changes from land conversion in Alaska are currently included in the Forest Land Remaining Forest Land section because there is insufficient data to separate the changes at this time. Forest ecosystem C stock changes from land conversion do not include U.S. Territories because managed forest land in U.S. Territories is not currently included in Section 6.1 Representation of the U.S. Land Base. The forest ecosystem C stock changes from land conversion do not include Hawaii because there is insufficient NFI data to support inclusion at this time. See Annex 3.13, Table A-217 for annual differences between the forest area reported in Section 6.1 Representation of the U.S. Land Base and Section 6.3 Land Converted to Forest Land. Since area estimates for some land use categories were not updated in the Land Representation in the current Inventory there are differences in the area estimates reported in this section and those reported in Section 6.1 Representation of the U.S. Land Base. The forest ecosystem C stock changes from land conversion do not include trees on non-forest land (e.g., agroforestry systems and settlement areas—see Section 6.10 Settlements Remaining Settlements for estimates of C stock change from settlement trees). It is not possible to separate emissions from drained organic soils between Forest Land Remaining Forest Land and Land Converted to Forest Land so estimates for all organic soils are included in Table 6?8 and Table 6?9 of the Forest Land Remaining Forest Land section of the Inventory.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
