Table 7-42:  U.S. Waste Composted (kt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Activity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,Waste Composted,"3,810",4355,4899,6260,7693,8709,9898,10950,11933,13366,14935,15026,15198,17321,18582,18655,18864,19709,20063,18838,18312,18675,19366,20373,20899,21234,22795,"24,501","22,594","22,709","22,774"
