Table 7-43:  Approach 1 Quantitative Uncertainty Estimates for CH4 and N2O Emissions from Composting (MMT CO2 Eq. and Percent),,,,,,,,
,,,,,,,,
,Source,Gas,2020 Emission Estimate,Uncertainty Range Relative to Emission Estimate,,,,
,,,(MMT CO2 Eq.),(MMT CO2 Eq.),,,(%),
,,,,Lower,Upper,,Lower,Upper
,,,,Bound,Bound,,Bound,Bound
,Composting,CH4,2.3,0.9,3.6,,-58%,58%
,,N2O,2,0.8,3.2,,-58%,58%
,,Total,4.3,1.8,6.8,,-58%,58%
