Table 7-12:  U.S. Population (Millions) and Domestic Wastewater BOD5 Produced (kt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Population,253,257,260,264,267,270,273,277,280,283,286,289,292,294,297,300,303,305,308,311,313,316,318,320,322,324,327,329,330,332,336
TOW,"8,131",8250,8378,8503,8620,8735,8822,8912,9037,9161,9278,9384,9479,9568,9596,9624,9639,9652,9664,9669,9688,9696,9683,9665,9649,9733,9816,9891,9956,10017,10164
Sources: U.S. Census Bureau (2021); ERG (2018a).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
