Table 2-13:  Transportation-Related Greenhouse Gas Emissions (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Vehicle,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,N2O,+ , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  ,+ ,+ ,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
,Commercial Aircrafta,110.9,104.3,106.5,109.8,114.6,116.3,119.7,124.0,120.8,131.5,140.6,125.7,122.4,124.0,126.0,133.9,138.3,141.0,128.4,120.6,114.3,115.6,114.3,115.4,116.3,120.1,121.5,129.2,130.8,135.4,92.1
,CO2,109.9,103.3,105.5,108.7,113.5,115.2,118.6,122.9,119.7,130.3,139.3,124.6,121.3,122.9,124.8,132.7,137.0,139.7,127.3,119.5,113.3,114.6,113.3,114.3,115.2,119.0,120.4,128.0,129.6,134.2,91.3
,CH4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,N2O,1.0,1.0,1.0,1.0,1.1,1.1,1.1,1.1,1.1,1.2,1.3,1.1,1.1,1.1,1.1,1.2,1.3,1.3,1.2,1.1,1.0,1.1,1.0,1.1,1.1,1.1,1.1,1.2,1.2,1.2,0.8
,Other Aircraftb,78.1,68.9,64.5,62.6,65.1,60.2,69.1,64.9,71.7,65.4,58.7,68.0,66.9,58.9,64.5,59.6,48.0,42.3,48.1,36.7,40.4,34.2,32.1,34.6,34.9,40.4,47.4,45.6,44.6,45.6,31.0
,CO2,77.3,68.2,63.8,62.0,64.5,59.6,68.4,64.2,71.0,64.7,58.1,67.4,66.2,58.4,63.9,59.0,47.5,41.9,47.7,36.4,40.0,33.8,31.7,34.3,34.6,40.0,47.0,45.1,44.2,45.2,30.7
,CH4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,+ ,+ ,+ ,+ ,+ 
,N2O,0.7,0.6,0.6,0.6,0.6,0.5,0.6,0.6,0.6,0.6,0.5,0.6,0.6,0.5,0.6,0.5,0.4,0.4,0.4,0.3,0.4,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.3
,Ships and Boatsc,47.0,41.7,57.1,53.8,55.4,58.8,55.9,42.4,35.8,44.8,65.8,42.9,47.7,37.8,40.3,45.4,48.5,55.2,45.6,39.1,44.9,46.4,40.3,39.7,29.0,33.8,40.7,43.8,41.1,40.0,32.3
,CO2,46.3,41.1,56.4,53.1,54.6,58.0,55.0,41.6,35.1,43.9,64.7,42.0,46.6,36.8,39.3,44.3,47.3,53.8,44.2,37.5,43.1,44.3,37.9,37.0,26.2,30.5,37.1,39.9,36.9,35.5,27.6
,CH4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.4,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.4
,N2O,0.3,0.2,0.3,0.3,0.3,0.4,0.3,0.2,0.2,0.2,0.4,0.2,0.3,0.2,0.2,0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2
,HFCs,0.0,0.0,0.0, +  , +  , +  ,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.7,0.8,0.9,1.2,1.5,1.7,2.0,2.3,2.6,2.9,3.3,3.6,3.9,4.2
,Rail,39.0,36.8,37.8,38.8,41.7,43.2,43.9,44.1,44.5,46.1,46.6,46.9,46.4,48.2,50.9,51.5,53.4,52.5,48.7,41.1,44.0,45.1,43.9,44.4,46.3,44.0,40.2,41.4,42.5,39.7,34.2
,CO2,38.5,36.4,37.3,38.4,41.2,42.7,43.4,43.6,43.9,45.5,46.0,46.3,45.8,47.5,50.2,50.8,52.7,51.8,48.1,40.5,43.4,44.5,43.3,43.8,45.6,43.4,39.6,40.7,41.8,39.1,33.7
,CH4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
,N2O,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.4,0.3,0.4,0.4,0.4,0.3,0.4,0.4,0.3,0.3
,HFCs,0.0,0.0,0.0,0.0,0.0,0.0, +  ,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
,Other Emissions from Electric Powerd,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
,Pipelinese,36.0,32.9,32.2,34.2,37.6,38.4,39.1,41.4,35.2,35.7,35.5,34.6,36.7,32.8,31.3,32.4,32.4,34.4,35.9,37.1,37.3,38.1,40.6,46.2,39.4,38.5,39.2,41.3,49.9,57.9,57.1
,CO2,36.0,32.9,32.2,34.2,37.6,38.4,39.1,41.4,35.2,35.7,35.5,34.6,36.7,32.8,31.3,32.4,32.4,34.4,35.9,37.1,37.3,38.1,40.6,46.2,39.4,38.5,39.2,41.3,49.9,57.9,57.1
,Lubricants,11.8,10.6,10.8,11.0,11.5,11.3,11.0,11.6,12.1,12.2,12.1,11.1,10.9,10.1,10.2,10.2,9.9,10.2,9.5,8.5,10.4,10.0,9.1,9.6,10.0,11.0,10.4,9.6,9.2,8.8,8.0
,CO2,11.8,10.6,10.8,11.0,11.5,11.3,11.0,11.6,12.1,12.2,12.1,11.1,10.9,10.1,10.2,10.2,9.9,10.2,9.5,8.5,10.4,10.0,9.1,9.6,10.0,11.0,10.4,9.6,9.2,8.8,8.0
,Total Transportation,1529.6,1483.4,1543.0,1580.0,1635.1,1670.2,1726.4,1753.0,1795.5,1866.6,1917.1,1889.2,1929.5,1937.7,1970.5,1980.3,1980.5,1979.6,1875.7,1800.9,1806.9,1773.0,1753.0,1755.9,1790.0,1797.8,1832.4,1849.6,1879.5,1879.1,1632.4
,International Bunker Fuelsf,54.8,61.3,51.4,41.0,40.3,40.2,41.2,44.2,45.7,37.8,34.3,32.9,34.6,36.4,42.6,44.7,46.1,46.7,50.3,46.5,47.7,40.0,35.5,29.5,28.7,31.6,35.0,34.6,32.5,26.4,22.7
,Ethanol CO2g,4.1,4.7,5.4,6.3,7.0,7.5,5.4,6.8,7.6,8.0,9.0,9.5,11.2,15.3,19.1,21.6,28.7,36.1,51.1,58.5,68.7,69.5,69.6,70.5,74.0,74.2,76.9,77.7,78.6,78.7,68.1
,Biodisel CO2g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.1,0.3,0.9,2.5,3.3,2.9,3.0,2.5,8.3,8.5,13.5,13.3,14.1,19.6,18.7,17.9,17.1,17.7
,+ Does not exceed 0.05 MMT CO2 Eq.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,a Consists of emissions from jet fuel consumed by domestic operations of commercial aircraft (no bunkers).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,b Consists of emissions from jet fuel and aviation gasoline consumption by general aviation and military aircraft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,c Fluctuations in emission estimates are associated with fluctuations in reported fuel consumption and may reflect issues with data sources.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"d Other emissions from electric power are a result of waste incineration (as the majority of municipal solid waste is combusted in “trash-to-steam” electric power plants), electrical transmission and distribution, and a portion of Other Process Uses of Carbonates (from pollution control equipment installed in electric power plants).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"e CO2 estimates reflect natural gas used to power pipelines, but not electricity. While the operation of pipelines produces CH4 and N2O, these emissions are not directly attributed to pipelines in the Inventory.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,f Emissions from International Bunker Fuels include emissions from both civilian and military activities; these emissions are not included in the transportation totals.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"g Ethanol and biodiesel CO2 estimates are presented for informational purposes only. See Section 3.11 and the estimates in Land Use, Land-Use Change, and Forestry (see Chapter 6), in line with IPCC methodological guidance and UNFCCC reporting obligations, for more information on ethanol and biodiesel.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Notes: Passenger cars and light-duty trucks include vehicles typically used for personal travel and less than 8,500 lbs; medium- and heavy-duty trucks include vehicles larger than 8,500 lbs. HFC emissions primarily reflect HFC-134a. Totals may not sum due to independent rounding.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
