Table 3-65:  Quantity of CO2 Captured and Extracted for EOR Operations (kt CO2),,,,,,,
,,,,,,,
,Stage,,2016,2017,2018,2019,2020
,Quantity of CO2 Captured and Extracted for EOR Operations ,,"46,700","49,600","48,400","52,100","35,210"
