Table 3-5:  CO2 Emissions from Fossil Fuel Combustion by Fuel Type and Sector (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fuel/Sector,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,Residential,97.8, 98.0 , 96.9 , 95.4 , 92.1 , 88.7 , 97.9 , 93.4 , 84.4 , 93.2 , 99.8 , 102.7 , 94.9 , 102.8 , 103.8 ,95.9, 83.8 , 84.0 , 82.2 , 77.4 , 75.8 , 71.1 , 57.3 , 62.8 , 68.9 , 64.6 , 54.4 ,51.9,64.4,65.9,59.5
,Commercial,74.3, 73.4 , 64.6 , 56.9 , 56.4 , 52.4 , 54.8 , 51.3 , 47.9 , 45.8 , 55.3 , 55.0 , 50.0 , 59.4 , 58.4 ,54.9, 51.7 , 52.8 , 48.7 , 52.1 , 49.9 , 47.9 , 39.1 , 41.1 , 39.4 , 66.2 , 58.7 ,56.8,51.5,56.2,51.6
,Industrial,287.1, 269.4 , 285.6 , 275.0 , 279.7 , 279.6 , 303.8 , 297.6 , 281.3 , 263.9 , 282.1 , 315.8 , 305.1 , 317.4 , 336.0 ,345, 371.9 , 358.5 , 314.2 , 281.2 , 294.4 , 293.3 , 293.7 , 303.5 , 268.3 , 268.2 , 265.7 ,262.2,265.7,265,237.8
,Transportation,"1,432.90"," 1,389.46 "," 1,445.42 "," 1,474.45 "," 1,516.38 "," 1,542.28 "," 1,588.28 "," 1,602.13 "," 1,643.63 "," 1,710.53 "," 1,756.55 "," 1,727.58 "," 1,765.93 "," 1,778.72 "," 1,813.29 ","1,825.50"," 1,826.00 "," 1,825.56 "," 1,722.98 "," 1,650.56 "," 1,658.64 "," 1,631.60 "," 1,618.19 "," 1,622.06 "," 1,667.08 "," 1,678.80 ","1,717.60","1,737.70","1,761.80","1,754.80","1,514.00"
,Electric Power,97.5, 90.7 , 75.5 , 86.4 , 81.2 , 58.7 , 63.4 , 72.2 , 101.3 , 93.8 , 88.5 , 98.6 , 76.9 , 95.1 , 95.8 ,98, 53.3 , 53.0 , 38.4 , 32.2 , 31.4 , 25.8 , 18.3 , 22.4 , 25.3 , 23.7 ,21.5,18.9,22.2,16.2,16.2
,U.S. Territories,21.2, 21.0 , 22.7 , 23.6 , 25.3 , 23.3 , 22.2 , 22.7 , 22.1 , 20.6 , 41.3 , 50.9 , 47.1 , 50.5 , 52.5 ,51.6, 49.5 , 45.6 , 35.7 , 34.8 , 29.9 , 28.5 , 27.2 , 21.7 , 21.4 , 22.1 ,19.4,20.6,19.6,16.9,16.9
,Geothermala,0.5, 0.5 , 0.5 , 0.6 , 0.5 , 0.4 , 0.5 , 0.5 , 0.5 , 0.5 , 0.5 , 0.4 , 0.5 , 0.5 , 0.5 ,0.5, 0.5 , 0.5 , 0.4 , 0.4 , 0.4 , 0.4 , 0.4 , 0.4 , 0.4 , 0.4 ,0.4,0.4,0.4,0.4,0.4
,   Electric Power,0.5, 0.5 , 0.5 , 0.6 , 0.5 , 0.4 , 0.5 , 0.5 , 0.5 , 0.5 , 0.5 , 0.4 , 0.5 , 0.5 , 0.5 ,0.5, 0.5 , 0.5 , 0.4 , 0.4 , 0.4 , 0.4 , 0.4 , 0.4 , 0.4 , 0.4 ,0.4,0.4,0.4,0.4,0.4
,Total,"4,731.20"," 4,680.62 "," 4,780.07 "," 4,893.75 "," 4,964.66 "," 5,022.11 "," 5,213.73 "," 5,274.13 "," 5,320.50 "," 5,372.09 "," 5,608.96 "," 5,531.44 "," 5,568.89 "," 5,643.32 "," 5,720.30 ","5,752.00"," 5,667.17 "," 5,753.61 "," 5,554.81 "," 5,181.14 "," 5,345.70 "," 5,209.77 "," 5,005.42 "," 5,123.17 "," 5,166.08 "," 5,006.52 ","4,909.60","4,853.30","4,989.30","4,852.30","4,342.70"
,NO (Not Occurring),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"a Although not technically a fossil fuel, geothermal energy-related CO2 emissions are included for reporting purposes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,The source of CO2 is non-condensable gases in subterranean heated water.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
