"Table 3-2:  CO2, CH4, and N2O Emissions from Energy (kt)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,Coal Mining,"3,860"," 3,730 "," 3,628 "," 3,091 "," 3,104 "," 3,056 "," 3,038 "," 3,017 "," 3,029 "," 2,848 "," 2,730 "," 2,720 "," 2,552 "," 2,559 "," 2,611 ","2,565"," 2,622 "," 2,591 "," 3,026 "," 3,194 "," 3,286 "," 2,846 "," 2,649 "," 2,585 "," 2,583 "," 2,449 ","2,154","2,191","2,109","1,895","1,648"
,Petroleum Systems,"1,912"," 1,912 "," 1,880 "," 1,870 "," 1,826 "," 1,811 "," 1,848 "," 1,851 "," 1,771 "," 1,701 "," 1,698 "," 1,709 "," 1,669 "," 1,714 "," 1,722 ","1,655"," 1,781 "," 1,770 "," 1,821 "," 1,632 "," 1,678 "," 1,779 "," 1,803 "," 1,887 "," 1,888 "," 1,727 ","1,616","1,621","1,544","1,615","1,609"
,Stationary Combustion,344, 351 , 362 , 339 , 331 , 331 , 344 , 311 , 285 , 291 , 308 , 289 , 292 , 302 , 310 ,313, 294 , 310 , 318 , 318 , 338 , 331 , 302 , 348 , 354 , 339 ,315,307,344,351,317
,Abandoned Oil and Gas Wells,261, 263 , 265 , 266 , 268 , 269 , 270 , 271 , 271 , 272 , 272 , 274 , 274 , 274 , 273 ,273, 273 , 272 , 272 , 272 , 273 , 272 , 272 , 273 , 273 , 274 ,275,276,277,279,276
,Abandoned Underground Coal Mines,288, 294 , 317 , 328 , 387 , 392 , 403 , 360 , 329 , 332 , 350 , 319 , 293 , 286 , 276 ,264, 261 , 254 , 253 , 254 , 263 , 257 , 249 , 249 , 253 , 256 ,268,257,247,237,231
,Mobile Combustion,259, 254 , 255 , 251 , 250 , 247 , 242 , 236 , 226 , 205 , 197 , 188 , 179 , 172 , 168 ,161, 159 , 150 , 142 , 137 , 136 , 133 , 124 , 119 , 112 , 109 ,105,102,99,99,88
,Incineration of Waste,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,International Bunker Fuelsb,7, 7 , 6 , 5 , 5 , 5 , 5 , 5 , 6 , 5 , 4 , 4 , 4 , 4 , 5 ,5, 5 , 5 , 6 , 5 , 6 , 5 , 4 , 3 , 3 , 4 ,4,4,4,4,3
,N2O,235, 241 , 252 , 261 , 270 , 276 , 283 , 288 , 290 , 282 , 283 , 274 , 271 , 269 , 266 ,255, 255 , 239 , 229 , 215 , 220 , 212 , 195 , 198 , 192 , 178 ,173,164,161,152,138
,Stationary Combustion,84, 84 , 85 , 87 , 89 , 90 , 92 , 94 , 95 , 95 , 100 , 99 , 103 , 107 , 111 ,115, 114 , 116 , 114 , 106 , 115 , 110 , 102 , 110 , 111 , 102 ,101,95,95,84,78
,Mobile Combustion,150, 156 , 166 , 173 , 179 , 185 , 189 , 193 , 194 , 185 , 182 , 174 , 167 , 161 , 153 ,139, 140 , 122 , 114 , 108 , 104 , 100 , 92 , 86 , 80 , 74 ,71,68,64,67,58
,Incineration of Waste,2, 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 ,1, 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 ,1,1,1,1,1
,Petroleum Systems,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,Natural Gas Systems,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,International Bunker Fuelsb,3, 3 , 3 , 3 , 3 , 3 , 3 , 3 , 3 , 3 , 3 , 3 , 3 , 3 , 3 ,3, 3 , 3 , 3 , 3 , 3 , 3 , 3 , 3 , 3 , 3 ,3,4,4,3,2
,+ Does not exceed 0.5 kt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"a Emissions from Wood Biomass, Ethanol, and Biodiesel Consumption are not included specifically in summing Energy sector totals. Net carbon fluxes from changes in biogenic carbon reservoirs are accounted for in the estimates for LULUCF.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"b Emissions from International Bunker Fuels are not included in totals. These values are presented for informational purposes only, in line with the 2006 IPCC Guidelines and UNFCCC reporting obligations.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
