Table 3-21:  Adjusted Consumption of Fossil Fuels for Non-Energy Uses (TBtu),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,Miscellaneous Products,137.8, 152.6 , 100.1 , 94.7 , 105.9 , 97.1 , 89.0 , 97.7 , 119.0 , 111.9 , 119.2 , 124.9 , 134.2 , 126.0 , 113.4 ,112.8, 136.0 , 133.5 , 142.0 , 151.8 , 158.7 , 164.7 , 161.6 , 171.2 , 182.7 , 188.9 ,191.3,198.8,198,180.2,170.7
,Transportation,176, 157.5 , 160.5 , 163.5 , 170.8 , 167.9 , 163.0 , 172.1 , 180.2 , 182.1 , 179.4 , 164.3 , 162.4 , 150.1 , 152.1 ,151.3, 147.4 , 152.2 , 141.3 , 127.1 , 154.8 , 148.4 , 135.4 , 143.4 , 149.4 , 162.8 ,154.4,142,137,131.3,119.3
,Lubricants,176, 157.5 , 160.5 , 163.5 , 170.8 , 167.9 , 163.0 , 172.1 , 180.2 , 182.1 , 179.4 , 164.3 , 162.4 , 150.1 , 152.1 ,151.3, 147.4 , 152.2 , 141.3 , 127.1 , 154.8 , 148.4 , 135.4 , 143.4 , 149.4 , 162.8 ,154.4,142,137,131.3,119.3
,U.S. Territories,50.8, 64.4 , 35.6 , 38.8 , 30.4 , 55.4 , 72.7 , 77.4 , 76.6 , 135.2 , 140.8 , 85.5 , 140.2 , 120.6 , 113.4 ,114.9, 98.6 , 111.0 , 78.0 , 40.3 , 27.4 , 14.6 , 17.6 , 10.5 , 10.7 , 10.3 ,10.5,3.5,3.6,3.6,3.6
,Lubricants,0.7, 0.6 , 1.5 , 1.7 , 1.9 , 2.0 , 1.5 , 2.5 , 1.3 , 1.4 , 3.1 , 2.5 , 3.0 , 4.9 , 5.1 ,4.6, 6.2 , 5.9 , 2.7 , 1.0 , 1.0 , 1.0 , 1.0 , 1.0 , 1.0 , 1.0 ,1,1,1,1,1
,Other Petroleum (Misc. Prod.),50.1, 63.8 , 34.1 , 37.1 , 28.5 , 53.4 , 71.3 , 74.9 , 75.3 , 133.9 , 137.7 , 83.0 , 137.2 , 115.8 , 108.3 ,110.3, 92.4 , 105.0 , 75.4 , 39.3 , 26.4 , 13.6 , 16.6 , 9.5 , 9.6 , 9.3 ,9.5,2.4,2.5,2.6,2.6
,Total,"4,544.40"," 4,579.98 "," 4,735.58 "," 4,656.29 "," 4,982.00 "," 4,956.21 "," 5,041.31 "," 5,288.11 "," 5,458.44 "," 5,966.24 "," 5,510.67 "," 5,257.22 "," 5,356.40 "," 5,126.88 "," 5,528.83 ","5,381.20"," 5,369.00 "," 5,241.36 "," 4,831.33 "," 4,497.62 "," 4,736.19 "," 4,630.07 "," 4,516.54 "," 4,779.61 "," 4,756.21 "," 5,037.63 "," 4,997.90 "," 5,234.90 ","5,588.30","5,619.10","5,570.60"
,NO (Not Occurring),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,a Excludes natural gasoline.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,b Formerly referred to as “Pentanes Plus.” This source has been adjusted and is reported separately from HGL to align with historic data and revised EIA terminology.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
