Table 3-71:  CO2 Emissions from Natural Gas Systems (kt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stage,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,Exploration,297, 297 , 216 , 274 , 272 , 258 , 299 , 418 , 379 , 431 , 584 , 842 , 729 , 925 ," 1,148 ","1,434"," 1,787 "," 1,941 "," 2,239 "," 1,373 "," 1,466 "," 1,839 "," 1,273 "," 1,212 ", 789 , 282 ,190,444,336,220,95
,Production,"3,024"," 3,140 "," 3,187 "," 3,315 "," 3,471 "," 3,532 "," 3,714 "," 3,812 "," 3,870 "," 3,849 "," 3,982 "," 4,126 "," 4,169 "," 4,251 "," 4,384 ","4,468"," 4,630 "," 4,878 "," 5,284 "," 5,344 "," 5,694 "," 6,489 "," 6,413 "," 6,806 "," 7,299 "," 7,615 ","7,444","7,194","8,503","10,885","7,736"
,Processing,"28,338"," 27,334 "," 27,260 "," 26,815 "," 26,557 "," 24,520 "," 22,441 "," 21,965 "," 19,760 "," 20,397 "," 20,359 "," 19,663 "," 20,174 "," 19,452 "," 19,210 ","18,836"," 18,828 "," 18,752 "," 18,674 "," 18,562 "," 18,577 "," 19,059 "," 19,059 "," 20,442 "," 20,977 "," 20,977 ","21,787","22,988","23,001","26,373","25,468"
,Transmission and Storage,180, 182 , 182 , 180 , 178 , 176 , 173 , 171 , 169 , 167 , 165 , 170 , 168 , 173 , 171 ,176, 174 , 172 , 193 , 199 , 212 , 218 , 223 , 223 , 228 , 228 ,340,499,547,"1,242","2,036"
,Distribution,54, 53 , 52 , 51 , 51 , 48 , 45 , 44 , 43 , 40 , 39 , 37 , 35 , 33 , 32 ,30, 29 , 24 , 23 , 21 , 19 , 18 , 17 , 17 , 17 , 17 ,17,17,17,16,16
,Post-Meter,1, 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 2 , 1 , 2 , 1 , 1 ,1, 1 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 ,2,2,2,2,2
,Total,"31,894"," 31,007 "," 30,897 "," 30,637 "," 30,531 "," 28,534 "," 26,674 "," 26,412 "," 24,221 "," 24,885 "," 25,130 "," 24,840 "," 25,276 "," 24,835 "," 24,946 ","24,945"," 25,450 "," 25,769 "," 26,416 "," 25,501 "," 25,969 "," 27,624 "," 26,988 "," 28,702 "," 29,312 "," 29,121 ","29,780","31,145","32,407","38,740","35,353"
,NE (Not Estimated),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
