Table 3-78:  Produced Water National CH4 Emissions (Metric Tons CH4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,Gas Well Produced Water,"121,867"," 126,834 "," 123,079 "," 121,609 "," 121,192 "," 118,756 "," 117,032 "," 121,101 "," 119,247 "," 123,736 "," 138,723 "," 150,523 "," 139,441 "," 150,480 "," 153,247 ","153,709"," 174,112 "," 183,058 "," 197,635 "," 203,281 "," 189,753 "," 184,114 "," 173,116 "," 157,230 "," 153,893 "," 144,256 ","142,777","145,965","150,073","160,548","131,322"
,Previous Estimate,"82,250"," 87,876 "," 86,223 "," 85,646 "," 84,757 "," 83,456 "," 84,213 "," 87,333 "," 88,561 "," 92,330 "," 105,319 "," 120,606 "," 118,648 "," 125,401 "," 130,881 ","139,453"," 154,006 "," 162,558 "," 181,897 "," 187,284 "," 175,800 "," 174,296 "," 177,342 "," 178,105 "," 182,320 "," 171,523 ","154,394","157,488","188,601","187,070",NA
,NA (Not Applicable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
