"Table 3-117:  NOx, CO, NMVOC, and SO2 Emissions from Energy-Related Activities (kt)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gas/Activity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,
Petroleum and Natural Gas Systems,552,578,570,586,584,579,428,438,435,404,379,390,531,520,508,497,845,1194,1542,1846,2149,2453,2562,2671,2781,2589,"2,397","2,205","2,205","2,205","2,205",
Incineration of Waste,222,226,230,256,248,237,304,313,326,302,257,258,243,243,242,241,199,156,114,103,92,81,102,122,143,132,121,109,109,109,109,
Other Energy,2,3,3,3,3,3,5,5,5,9,9,10,14,14,13,13,22,31,40,48,56,64,67,70,72,67,62,57,57,57,57,
International Bunker Fuelsa,57,64,56,49,47,48,48,52,54,47,44,41,43,45,52,54,54,55,56,52,56,50,46,41,42,46,49,50,50,46,32,0
SO2,"19,628","19,109","18,844","18,583","18,223","15,772","15,725","16,102","16,193","14,932","13,796","13,404","12,786","12,582","12,366","12,364","11,120","9,875","8,674","7,591","6,396","5,273","4,031","3,872","3,742","3,096","2,439","1,794","1,701","1,433","1,270",
Fossil Fuel Combustion,"19,200","18,727","18,428","18,179","17,831","15,396","15,392","15,761","15,853","14,619","13,480","13,085","12,531","12,343","12,144","12,159","10,932","9,705","8,521","7,448","6,264","5,150","3,909","3,750","3,620","2,979","2,327","1,686","1,594","1,326","1,163",
Electric Power Sector,"14,433","14,319","13,985","13,779","13,507","10,959","11,582","11,971","12,171","11,416","10,339","9,843","9,468","9,383","9,299","9,439","8,660","7,881","7,069","6,135","5,168","4,196","3,047","2,981","2,943","2,381","1,819","1,257","1,167",902,742,
Industrial,"3,221","2,954","2,987","2,979","2,919","3,045","2,584","2,544","2,486","1,937","1,941","2,035","1,620","1,615","1,600","1,574","1,374","1,173",969,851,732,613,570,527,484,437,389,342,342,342,342,
Transportation,793,769,745,720,697,672,648,658,664,704,632,624,917,818,718,619,459,299,218,220,144,142,124,106,88,78,57,48,45,42,39,
Commercial,589,519,543,533,541,553,454,466,418,407,409,408,368,369,370,370,308,247,185,170,154,139,117,95,74,58,43,28,28,28,28,
Residential,165,166,168,167,167,166,123,123,114,155,159,174,157,157,158,158,131,105,79,72,66,59,50,41,31,25,18,12,12,12,12,
Petroleum and Natural Gas Systems,387,337,371,341,336,327,298,305,304,274,277,280,225,208,191,174,160,145,131,122,113,105,100,96,91,89,86,83,83,83,83,
Incineration of Waste,38,39,39,56,48,42,29,29,30,30,29,30,23,23,24,25,22,20,18,17,16,15,19,23,27,26,24,22,22,22,22,
Other Energy,3,6,7,7,8,8,7,7,7,8,8,8,7,6,6,5,5,4,4,4,3,3,3,3,3,3,3,2,2,2,2,
International Bunker Fuelsa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA (Not Applicable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a These values are presented for informational purposes only and are not included in totals.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
