"Table 3-1:  CO2, CH4, and N2O Emissions from Energy (MMT CO2 Eq.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,Petroleum Systems,47.8,47.8,47,46.8,45.6,45.3,46.2,46.3,44.3,42.5,42.4,42.7,41.7,42.8,43.1,41.4,44.5,44.2,45.5,40.8,42,44.5,45.1,47.2,47.2,43.2,40.4,40.5,38.6,40.4,40.2
,Stationary Combustion,8.6,8.8,9.1,8.5,8.3,8.3,8.6,7.8,7.1,7.3,7.7,7.2,7.3,7.6,7.7,7.8,7.3,7.7,8,8,8.5,8.3,7.6,8.7,8.9,8.5,7.9,7.7,8.6,8.8,7.9
,Abandoned Oil and Gas Wells,6.5,6.6,6.6,6.7,6.7,6.7,6.7,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.9,6.9,6.9,7,6.9
,Abandoned Underground Coal Mines,7.2,7.3,7.9,8.2,9.7,9.8,10.1,9,8.2,8.3,8.8,8,7.3,7.2,6.9,6.6,6.5,6.3,6.3,6.4,6.6,6.4,6.2,6.2,6.3,6.4,6.7,6.4,6.2,5.9,5.8
,Mobile Combustion,6.5,6.3,6.4,6.3,6.2,6.2,6.1,5.9,5.7,5.1,4.9,4.7,4.5,4.3,4.2,4,4,3.8,3.6,3.4,3.4,3.3,3.1,3,2.8,2.7,2.6,2.6,2.5,2.5,2.2
,Incineration of Waste,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,International Bunker Fuelsb,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
,N2O,70.1,71.9,75.1,77.9,80.4,82.2,84.3,85.7,86.5,84,84.4,81.7,80.8,80.1,79.2,76.1,76.1,71.2,68.3,64.1,65.7,63,58.2,58.9,57.3,53,51.5,49,47.9,45.3,41.1
,Stationary Combustion,25.1,25,25.2,26,26.5,26.8,27.5,27.9,28.3,28.3,29.8,29.4,30.6,31.8,33.1,34.4,34,34.4,34,31.6,34.2,32.9,30.3,32.7,32.9,30.5,30,28.4,28.2,24.9,23.2
,Mobile Combustion,44.6,46.5,49.4,51.5,53.4,55,56.3,57.4,57.8,55.3,54.1,51.8,49.9,47.9,45.7,41.4,41.6,36.3,33.8,32.1,31.1,29.7,27.4,25.7,23.9,22.1,21.1,20.1,19.2,20,17.4
,Incineration of Waste,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
,Petroleum Systems,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,Natural Gas Systems,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,International Bunker Fuelsb,0.9,1,0.9,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.8,0.8,0.8,0.9,1,1,1,1,0.9,1,1,0.9,0.9,0.9,1,1,1.1,1.1,1,0.6
,Total,"5,341.1","5,295.7","5,402.7","5,493.0","5,580.8","5,626.7","5,815.1","5,885.8","5,927.1","5,987.7","6,195.6","6,110.6","6,140.9","6,208.2","6,303.7","6,319.8","6,243.0","6,310.5","6,120.1","5,714.2","5,884.1","5,732.1","5,520.5","5,661.1","5,700.3","5,543.1","5,413.1","5,372.7","5,539.4","5,409.8","4,854.7"
,+ Does not exceed 0.05 MMT CO2 Eq.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,a Emissions from Wood Biomass and Biofuel Consumption are not included specifically in summing energy sector totals. Net carbon fluxes from changes in biogenic carbon reservoirs are accounted for in the estimates for LULUCF.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"b Emissions from International Bunker Fuels are not included in totals. These values are presented for informational purposes only, in line with the 2006 IPCC Guidelines and UNFCCC reporting obligations.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
