Table 3-19:  Approach 2 Quantitative Uncertainty Estimates for CH4 and N2O Emissions from Mobile Sources (MMT CO2 Eq. and Percent),,,,,,,
,Source,Gas,2020 Emission Estimate,Uncertainty Range Relative to Emission Estimatea,,,
,,,(MMT CO2 Eq.),(MMT CO2 Eq.),,(Percent),
,,,,Lower ,Upper ,Lower ,Upper 
,,,,Bound,Bound,Bound,Bound
,Mobile Sources,CH4,2.2,2.0,2.7,-8%,24%
,Mobile Sources,N2O,17.4,16.0,20.7,-8%,19%
,a Range of emission estimates predicted by Monte Carlo Stochastic Simulation for a 95 percent confidence interval.,,,,,,
