Table 3-63:  National Oil Well Counts ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,Oil Wells,"520,364"," 523,558 "," 515,334 "," 527,375 "," 506,758 "," 502,838 "," 508,768 "," 514,023 "," 495,675 "," 472,981 "," 478,042 "," 474,935 "," 473,388 "," 470,614 "," 476,227 ","482,007"," 487,790 "," 486,681 "," 512,453 "," 510,980 "," 523,433 "," 540,167 "," 561,105 "," 579,723 "," 604,435 "," 593,353 ","568,640","560,258","553,769","549,153","529,419"
,Previous Estimate,"506,730"," 507,958 "," 492,537 "," 472,634 "," 456,523 "," 452,262 "," 461,189 "," 465,920 "," 453,965 "," 438,218 "," 441,750 "," 443,047 "," 439,746 "," 436,598 "," 442,012 ","447,683"," 453,260 "," 452,009 "," 477,519 "," 475,803 "," 487,974 "," 504,502 "," 525,253 "," 544,471 "," 568,236 "," 562,857 ","543,759","534,806","527,544","521,771",NA
,NA (Not Applicable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
