Table 3-80:  Gas Engine National Emissions (Metric Tons CH4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,Gas Engines,"115,689"," 119,924 "," 124,308 "," 126,061 "," 132,185 "," 129,605 "," 131,908 "," 135,757 "," 142,239 "," 140,653 "," 148,228 "," 158,762 "," 166,205 "," 178,211 "," 182,336 ","198,004"," 212,625 "," 221,271 "," 236,683 "," 239,688 "," 231,987 "," 234,832 "," 233,480 "," 229,091 "," 224,613 "," 220,054 ","214,661","197,218","207,051","202,052","197,074"
,Previous Estimate ,"116,684"," 121,265 "," 125,560 "," 134,923 "," 138,719 "," 132,258 "," 129,155 "," 124,671 "," 123,684 "," 117,936 "," 118,053 "," 121,135 "," 121,194 "," 125,658 "," 125,731 ","129,715"," 140,078 "," 147,785 "," 158,562 "," 158,210 "," 148,653 "," 148,015 "," 143,587 "," 138,081 "," 134,692 "," 132,093 ","124,835","120,272","116,437","111,886",NA
,NA (Not Applicable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
