Table 3-48:  Approach 2 Quantitative Uncertainty Estimates for CH4 and CO2 Emissions from Petroleum Systems (MMT CO2 Eq. and Percent) ,,,,,,,
,,,,,,,
,Source,Gas,2020 Emission Estimate,Uncertainty Range Relative to Emission Estimatea,,,
,,,(MMT CO2 Eq.)b,(MMT CO2 Eq.),,(%),
,,,,Lower,Upper,Lower,Upper
,,,,Bound,Bound,Bound,Bound
,Petroleum Systems,CH4,40.2,29,53.1,-28%,32%
,Petroleum Systems,CO2,30.2,23.5,38,-22%,26%
,Petroleum Systems,N2O,0.04,0.03,0.05,-22%,26%
,a Range of emission estimates estimated by applying the 95 percent confidence intervals obtained from the Monte Carlo Simulation analysis conducted for the year 2020 CH4 and  CO2 emissions.,,,,,,
,"b All reported values are rounded after calculation. As a result, lower and upper bounds may not be duplicable from other rounded values as shown in table.",,,,,,
